user_id;id;is_seen;is_turn_on_noti
c6cb127b-b0a3-4786-ae8e-922ccef09268;polyester secret outside;true;false
22ad3be6-2a6c-4542-ad42-8d3256f1c658;now frankly puppet;true;false
7f692713-4995-437a-9875-15ebea9946f9;among colorless;false;true
55b856c2-bded-4593-85b6-9962eac366eb;oof hydrolyse airmail;true;true
d96a2128-5ef5-4f96-8573-39c9faf6f270;oh;false;true
80da1102-3ef6-4807-87f6-c15123f6781a;a overburden finally;true;false
c2159a5a-7945-4d7f-ba3d-44d859a6cc27;if firm;true;false
e1c73f2b-dba6-4895-b94e-07ae388ee5a2;silky;false;true
c19d6ad4-762a-4eb9-834e-10a4a82e63a8;consign yum;false;false
46800be8-ebd0-4d00-92a3-1d35fd77f9ed;phooey boohoo;false;true
